 ,Major1,Minor1,Angle1,Major2,Minor2,Angle2
272,33.162,23.996,8.041,32.496,19.199,156.507
273,33.162,23.996,8.041,32.496,19.199,156.507
274,33.162,23.996,8.041,32.496,19.199,156.507
275,33.162,23.996,8.041,32.496,19.199,156.507
276,33.162,23.996,8.041,32.496,19.199,156.507
277,33.162,23.996,8.041,32.496,19.199,156.507
278,33.162,23.996,8.041,32.496,19.199,156.507
279,33.162,23.996,8.041,32.496,19.199,156.507
280,33.162,23.996,8.041,32.496,19.199,156.507
281,33.162,23.996,8.041,32.496,19.199,156.507
282,33.162,23.996,8.041,32.496,19.199,156.507
283,33.162,23.996,8.041,32.496,19.199,156.507
284,33.162,23.996,8.041,32.496,19.199,156.507
285,33.162,23.996,8.041,32.496,19.199,156.507
286,33.162,23.996,8.041,32.496,19.199,156.507
287,33.162,23.996,8.041,32.496,19.199,156.507
288,33.162,23.996,8.041,32.496,19.199,156.507
289,33.162,23.996,8.041,32.496,19.199,156.507
290,33.162,23.996,8.041,32.496,19.199,156.507
291,33.162,23.996,8.041,32.496,19.199,156.507
292,33.162,23.996,8.041,32.496,19.199,156.507
293,33.162,23.996,8.041,32.496,19.199,156.507
294,33.162,23.996,8.041,32.496,19.199,156.507
295,33.162,23.996,8.041,32.496,19.199,156.507
296,33.162,23.996,8.041,32.496,19.199,156.507
297,33.162,23.996,8.041,32.496,19.199,156.507
298,33.162,23.996,8.041,32.496,19.199,156.507
299,33.162,23.996,8.041,32.496,19.199,156.507
300,33.162,23.996,8.041,32.496,19.199,156.507
301,33.162,23.996,8.041,32.496,19.199,156.507
302,33.162,23.996,8.041,32.496,19.199,156.507
303,33.162,23.996,8.041,32.496,19.199,156.507
304,33.162,23.996,8.041,32.496,19.199,156.507
305,33.162,23.996,8.041,32.496,19.199,156.507
306,33.162,23.996,8.041,32.496,19.199,156.507
307,33.162,23.996,8.041,32.496,19.199,156.507
308,33.162,23.996,8.041,32.496,19.199,156.507
309,33.162,23.996,8.041,32.496,19.199,156.507
